,0,1,0
0,-0.5542444229631784,-9.069389766789865,0
1,5.349324858444091,-4.032421465981634,1
2,-0.8861829338391869,-4.5678062879816554,2
3,-0.4529804485870812,-4.207660404251854,2
4,7.394873662268694,-4.501492298233567,1
5,4.935921162885689,-2.769765685028789,1
6,-2.0585112119273545,-9.206253402056218,0
7,-1.5106435551156157,-9.625852319906565,0
8,-0.2899585922364747,-7.608596502216269,0
9,-2.020153281607533,-7.571046136693258,0
10,5.00840059185173,-6.241483018692654,1
11,6.350339805630337,-5.349411936239951,1
12,-0.22874522129075137,-3.5248523531918687,2
13,-1.4348368285588455,-9.714518995687907,0
14,5.983634696855508,-3.7972290891819798,1
15,-0.6692312606749466,-5.0423132398316985,2
16,6.317124541028534,-3.451428093523446,1
17,6.107176489836261,-2.5790871505975854,1
18,-2.86326646260117,-9.026372229046126,0
19,-0.5052262074754338,-3.8671706983276453,2
20,-1.8119693493993405,-9.741113508619476,0
21,6.51419312763589,-4.161559427948877,1
22,3.586940652533363,-4.046340403616473,1
23,6.342232578089701,-4.631137492380669,1
24,-1.8145326525352428,-7.620039334733341,0
25,-1.792186338048492,-8.634725781420828,0
26,-1.5527652839564037,-8.783728885936137,0
27,6.07290999537511,-4.807791498690256,1
28,-2.501870843651492,-8.764888320162312,0
29,-1.1000099012173106,-3.909085308865016,2
30,7.599913722119684,-4.3141068836992265,1
31,-1.2495098712931936,-10.721031753605548,0
32,4.7573178153375775,-7.32117480836097,1
33,-0.7925256797610281,-4.21298371835444,2
34,0.09301189944181942,-3.777181298948694,2
35,-4.710203918915262,-8.200207949788844,0
36,4.875447854706087,-5.059131580522403,1
37,0.4447979213716895,-2.860984693710532,2
38,-1.242663154302601,-8.634014464029821,0
39,-0.2165236955838996,-8.719254311403445,0
40,6.260679923118332,-4.8572757069816195,1
41,-3.694309980724763,-8.72013012425509,0
42,5.707385765070965,-4.1009607730886595,1
43,7.669082248400962,-4.351773552658806,1
44,-1.163137729613065,-2.717207952340176,2
45,-1.7456531904197052,-3.6535872197408645,2
46,-0.4757392961974044,-5.7074717717343635,2
47,-0.8291702835595923,-3.8112461596672804,2
48,4.80661937641012,-2.939241665425517,1
49,5.170156689712399,-4.054492813591544,1
50,1.0180382623060336,-4.140726004190452,2
51,-0.8236190445323939,-3.6143414765289528,2
52,-2.692429843477416,-9.326108117169023,0
53,-0.4448292254413617,-3.3633061014694245,2
54,-1.6257555854332897,-4.039139539659922,2
55,6.0186205859507345,-3.3402320818326183,1
56,1.260307660823575,-4.013018024242229,2
57,6.738115858134047,-3.3915910660595774,1
58,-0.6306274972970494,-2.4861155384834617,2
59,7.1267444009214325,-3.3626586505533247,1
60,-1.996544566332636,-6.937125251531048,0
61,-1.8318519482752293,-4.583658510954393,2
62,5.188077843910077,-5.020698945109114,1
63,-0.8384871944351711,-10.346466437487683,0
64,-0.26881150772619,-5.225935736416196,2
65,-2.728189489293997,-8.423766070410998,0
66,-0.2955802070174136,-9.20405811459308,0
67,6.64031576625506,-1.2439443353039032,1
68,5.526189385819251,-4.784306256931768,1
69,-1.4202305984571437,-5.268650728855736,2
70,-0.6085763289056917,-3.864998701834855,2
71,0.021997527272363815,-7.123329238592154,0
72,6.258926508610868,-4.2255567960660505,1
73,-0.904690489980494,-5.442574862500171,2
74,-1.8663119504140142,-7.180907435358834,0
75,5.623859009848042,-3.4887408691691393,1
76,6.934852150495468,-3.1563643291113577,1
77,-0.08524195347521335,-7.892121290731975,0
78,5.0126782389992535,-3.560384961198442,1
79,-1.1214612126622765,-4.560202231060401,2
80,-0.9259832851669425,-9.43654948236176,0
81,-1.9165079530488467,-3.6079561735127856,2
82,-1.28723445070216,-3.7532505371823337,2
83,5.366079492487366,-2.599794911493942,1
84,0.7500063938665293,-4.574461817364239,2
85,4.136704501317494,-6.687825115884895,1
86,-1.7225119756666112,-10.556809894986053,0
87,-2.3094477550801864,-3.969999346178155,2
88,-3.2469182279557747,-4.549738460172937,2
89,-1.009910667776605,-9.09090808676832,0
90,-2.9583244130561663,-8.913381979368065,0
91,-1.6319263705515874,-8.594779688873304,0
92,7.490563615967903,-3.222363370884689,1
93,-2.172976609266418,-8.088353491026249,0
94,0.23064893010634502,-4.76625512159436,2
95,6.1298805898642446,-3.989948288941686,1
96,0.6278036209323492,-3.6312632285094084,2
97,-2.7065191990748967,-9.95173568401374,0
98,-1.1839918118966946,-4.443892578509641,2
99,5.795960087870562,-4.069874909085683,1
100,-1.9739667453094003,-4.51444799432228,2
101,4.575271777928748,-3.312560237944645,1
102,-1.5584341743019516,-4.0966873649325555,2
103,4.635966692331005,-4.438492830232478,1
104,5.145375316633672,-3.0352137293159696,1
105,0.36648744697234736,-9.41928147648623,0
106,6.72528040508201,-2.1149483558713347,1
107,6.08196345198761,-3.7404801693123133,1
108,6.798567886396256,-4.476264501192883,1
109,0.9553287845717788,-3.9308490041379716,2
110,-0.7944749781651068,-4.05782394823541,2
